# 2D electrostatic potential on XZ plane
# Columns: X (nm)  Z (nm)  Potential (V)
# Grid: 171 x 171
  0.103030  8.665186  -2.425469e-01
  0.103030  8.725994  1.103010e-01
  0.103030  8.786802  5.825081e-01
  0.103030  8.847611  5.946611e-01
  0.103030  8.908419  3.505588e-01
  0.103030  8.969227  -2.660758e-01
  0.103030  9.030036  -1.119509e-01
  0.103030  9.090844  -2.694026e-03
  0.103030  9.151652  1.387100e-01
  0.103030  9.212461  2.461578e-01
  0.103030  9.273269  7.073092e-02
  0.103030  9.334077  -5.571993e-01
  0.103030  9.394886  -1.052142e+00
  0.103030  9.455694  -5.169953e-01
  0.103030  9.516502  -1.124374e-01
  0.103030  9.577311  1.724766e-02
  0.103030  9.638119  1.242657e-02
  0.103030  9.698927  3.093956e-02
  0.103030  9.759735  -2.890394e-01
  0.103030  9.820544  -1.852949e-01
  0.103030  9.881352  3.931681e-01
  0.103030  9.942160  -1.234638e-01
  0.103030  10.002969  1.280214e-01
  0.103030  10.063777  2.650552e-01
  0.103030  10.124585  -4.291529e-03
  0.103030  10.185394  3.058728e-01
  0.103030  10.246202  9.886373e-02
  0.103030  10.307010  -4.748028e-02
  0.103030  10.367819  -2.354959e-01

  0.171717  0.030404  -2.182645e-01
  0.171717  0.091212  -3.163446e-02
  0.171717  0.152021  3.702437e-01
  0.171717  0.212829  3.779011e-01
  0.171717  0.273637  -9.283646e-02
  0.171717  0.334446  5.681378e-02
  0.171717  0.395254  9.933058e-02
  0.171717  0.456062  -3.094575e-03
  0.171717  0.516871  2.694553e-01
  0.171717  0.577679  4.523473e-03
  0.171717  0.638487  -5.939175e-01
  0.171717  0.699296  -3.766551e-01
  0.171717  0.760104  -3.744599e-01
  0.171717  0.820912  -4.575674e-01
  0.171717  0.881721  -3.881262e-01
  0.171717  0.942529  4.085642e-03
  0.171717  1.003337  1.403571e-01
  0.171717  1.064146  -9.387651e-02
  0.171717  1.124954  1.928527e-01
  0.171717  1.185762  -2.787424e-01
  0.171717  1.246571  -2.438605e-01
  0.171717  1.307379  2.729166e-01
  0.171717  1.368187  4.380512e-02
  0.171717  1.428996  -4.303836e-01
  0.171717  1.489804  -8.276967e-01
  0.171717  1.550612  -7.356620e-01
  0.171717  1.611421  -5.312966e-01
  0.171717  1.672229  -5.733403e-01
  0.171717  1.733037  -4.175851e-01
  0.171717  1.793845  -3.380030e-01
  0.171717  1.854654  -2.695810e-01
  0.171717  1.915462  -7.988961e-01
  0.171717  1.976270  -5.287959e-01
  0.171717  2.037079  -1.458370e-01
  0.171717  2.097887  -6.441329e-02
  0.171717  2.158695  2.290293e-02
  0.171717  2.219504  2.816761e-01
  0.171717  2.280312  2.447037e-01
  0.171717  2.341120  4.649909e-01
  0.171717  2.401929  5.823292e-01
  0.171717  2.462737  4.272178e-01
  0.171717  2.523545  6.394125e-01
  0.171717  2.584354  7.790410e-01
  0.171717  2.645162  3.089582e-01
  0.171717  2.705970  1.193562e-01
  0.171717  2.766779  -1.423255e-01
  0.171717  2.827587  -3.696416e-01
  0.171717  2.888395  -2.578095e-01
  0.171717  2.949204  -4.045598e-02
  0.171717  3.010012  -1.099853e-01
  0.171717  3.070820  -4.980108e-01
  0.171717  3.131629  -4.962196e-01
  0.171717  3.192437  -3.198617e-01
  0.171717  3.253245  2.209684e-01
  0.171717  3.314053  1.628522e-01
  0.171717  3.374862  -4.889763e-01
  0.171717  3.435670  3.048143e-02
  0.171717  3.496478  2.225706e-01
  0.171717  3.557287  1.764030e-01
  0.171717  3.618095  2.912051e-01
  0.171717  3.678903  7.713185e-01
  0.171717  3.739712  7.143110e-01
  0.171717  3.800520  6.410647e-01
  0.171717  3.861328  5.470390e-01
  0.171717  3.922137  4.031872e-01
  0.171717  3.982945  3.151541e-01
  0.171717  4.043753  3.271562e-01
  0.171717  4.104562  4.084376e-01
  0.171717  4.165370  4.218882e-01
  0.171717  4.226178  3.767572e-01
  0.171717  4.286987  3.998294e-01
  0.171717  4.347795  4.248691e-01
  0.171717  4.408603  3.713697e-01
  0.171717  4.469412  3.743820e-01
  0.171717  4.530220  3.994269e-01
  0.171717  4.591028  3.038897e-01
  0.171717  4.651837  2.892209e-01
  0.171717  4.712645  3.822252e-01
  0.171717  4.773453  4.646434e-01
  0.171717  4.834262  4.475434e-01
  0.171717  4.895070  4.905671e-01
  0.171717  4.955878  4.723346e-01
  0.171717  5.016686  5.126175e-01
  0.171717  5.077495  5.596111e-01
  0.171717  5.138303  6.049863e-01
  0.171717  5.199111  5.535951e-01
  0.171717  5.259920  4.884645e-01
  0.171717  5.320728  4.476535e-01
  0.171717  5.381536  3.681940e-01
  0.171717  5.442345  2.985715e-01
  0.171717  5.503153  1.012056e-01
  0.171717  5.563961  1.232386e-01
  0.171717  5.624770  1.671834e-01
  0.171717  5.685578  5.271786e-02
  0.171717  5.746386  5.062482e-02
  0.171717  5.807195  5.494397e-02
  0.171717  5.868003  1.442260e-01
  0.171717  5.928811  2.602558e-01
  0.171717  5.989620  1.790701e-01
  0.171717  6.050428  -3.192737e-02
  0.171717  6.111236  -1.676133e-01
  0.171717  6.172045  -1.774740e-01
  0.171717  6.232853  -1.717539e-01
  0.171717  6.293661  1.776511e-01
  0.171717  6.354470  8.871768e-02
  0.171717  6.415278  -7.593382e-02
  0.171717  6.476086  -1.746156e-02
  0.171717  6.536894  -1.453135e-01
  0.171717  6.597703  1.543650e-01
  0.171717  6.658511  2.909035e-01
  0.171717  6.719319  2.218725e-02
  0.171717  6.780128  -1.117075e-01
  0.171717  6.840936  1.252333e-01
  0.171717  6.901744  5.867375e-02
  0.171717  6.962553  -1.210650e-01
  0.171717  7.023361  1.335089e-01
  0.171717  7.084169  7.839628e-02
  0.171717  7.144978  -3.282253e-01
  0.171717  7.205786  -4.142197e-01
  0.171717  7.266594  -4.043195e-01
  0.171717  7.327403  -3.732167e-01
  0.171717  7.388211  -4.184236e-01
  0.171717  7.449019  -2.492092e-01
  0.171717  7.509828  -3.109672e-01
  0.171717  7.570636  -6.175413e-01
  0.171717  7.631444  -4.370009e-01
  0.171717  7.692253  -3.758163e-01
  0.171717  7.753061  -3.245820e-01
  0.171717  7.813869  -3.187531e-01
  0.171717  7.874678  -3.325910e-01
  0.171717  7.935486  -5.484320e-01
  0.171717  7.996294  -1.787856e-01
